name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
LOEWE ANAGRAM SMALL CUTOUT TOTE,CLASSIC,https://zerocollective.ca/bag/loewe-leather-anagram-small-cutout-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67ab9932978daca81641b81a_Loewe%20Black%20Beach%20Tote%20%5B1%5D.webp,"LARGE (13"" x 10"" x 4"")","11""","PHONE, WALLET, SUNGLASSES, BOOK, AND KEYS","Black cutout leather exterior with tan leather handles, ecru canvas pouch","Calfskin leather, cotton canvas","Small tote, open top, signature Anagram cutouts, canvas drawstring liner, shoulder straps","Loewe’s Anagram Small Cutout Tote is crafted using precision laser-cutting on smooth calfskin, forming the brand’s signature scroll-like emblem. Clean edges and a minimalist silhouette highlight the bag’s sculptural quality. The removable canvas pouch adds ease and structure to the airy design. Perfect for women who appreciate artistic craftsmanship and modern lines. Style it with tailored looks or airy summer pieces."
CHANEL LAMBSKIN STUDDED WALLET ON CHAIN,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-studded-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa752db2c59b102d78075_Chanel%20Studded%20Black%20WOC%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Black with gold-tone studs,Lambskin leather,"Gold-tone hardware, diamond stud motif, CC clasp, chain strap",
LOUIS VUITTON MONOGRAM EMPREINTE GIANT ONTHEGO MM TOTE,DELUXE,https://zerocollective.ca/bag/louis-vuitton-empreinte-monogram-giant-on-the-go-mm-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa82742e0fc8b7143034e_LV%20Monogram%20Tote%20Black%20%5B1%5D.webp,"LARGE (13.5"" x 10.5"" x 5"")","9.5""","LAPTOP, POUCH, PHONE, WALLET, AND KEYS",Matte black with oversized embossed Monogram motif,Monogram Empreinte leather,"MM size tote, rigid rectangle frame, double handles",
CHANEL LAMBSKIN CHEVRON TRENDY FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-chevron-trendy-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1752600932855x516275228963162050/Chanel%20Lambskin%20Chevron%20Trendy%20Flap%20Bag%20BJPCH248-3212-0%201%20%281%29.jpg","SMALL (10"" x 6.5"" x 2"")","13.5""","WALLET, PHONE, AND KEYS",Blush pink with gold-tone hardware,Lambskin leather,Chevron-quilted flap; top handle; leather-woven chain strap for shoulder or crossbody wear; CC turn-lock closure; back slip pocket,"The Chevron Trendy Flap blends refined quilting with the polished presence of a top handle for a sophisticated, feminine profile. Smooth lambskin enhances the bag’s structured lines while gold hardware adds a subtle glow. Compact yet thoughtfully designed, it transitions effortlessly from daytime meetings to evening outings. This is a beautiful choice for someone who wants elegance without feeling overly formal. Wear it handheld or crossbody depending on the mood."
CHANEL LAMBSKIN QUILTED CHAIN HANDLE MEDIUM BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-chain-handle-medium-boy-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa3be463412a02f48ef147_Chanel%20Quilted%20Handle%20Boy%20Black%20%5B1%5D.webp,"MEDIUM (10"" x 6"" x 3"")","21""","WALLET, PHONE, AND KEYS","Black, heavy gold hardware",Lambskin leather,"Boy-style medium flap, chain and leather top handle, diamond quilting, Boy clasp","The Chain Handle Medium Boy Bag adds power and depth to the Boy line with its woven chain top handle and heavy gold hardware. Quilted lambskin delivers a luxurious softness that complements the bag’s sharp, structured silhouette. The Boy clasp anchors the look with signature modern energy. This piece suits someone who favours strong, fashion-forward accessories with lasting impact. Style it with structured coats or elevated streetwear for a bold finish."
CHANEL LAMBSKIN QUILTED MEDIUM 19 FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-medium-19-flap-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67e4894aac96e9eadb91b5c5_Chanel%2019%20Quilted%20Toffee%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 3.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS","The Chanel 19 Flap in soft taupe-beige channels easy, modern luxury with its rounded silhouette and plush lambskin texture. Mixed gold and ruthenium hardware gives the bag a dynamic, fashion-forward feel, balancing warm and cool tones effortlessly. Oversized quilting and a bold CC twist lock add contemporary energy to the classic shape. Perfect for those who appreciate understated colour with elevated details. Style it with creamy neutrals or crisp white for a clean, elegant palette.",Lambskin leather,"Medium size, mixed gold and ruthenium hardware, CC twist lock",
CHANEL CAVIAR QUILTED SMALL FILIGREE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-filigree-small-flap-bag-3,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd9e913d6d450288b1116e_Chanel%20Caviar%20Filigree%20Blue%20%5B1%5D.webp,"SMALL (8.5"" x 5.5"" x 2"")","11.5"" - 22""","CARDHOLDER, PHONE, AND KEYS",Navy blue with gold hardware,Caviar leather,"Small flap, filigree CC logo, quilted, chain/leather strap","In deep navy caviar, the Small Filigree Flap offers a refined take on Chanel’s structured mini format. The filigree CC logo blends craftsmanship with modern expression, elevating the quilted silhouette. Its versatile scale moves seamlessly from day to dinner, balancing elegance with ease. Perfect for someone who loves classic Chanel details with everyday wearability. Pair it with gold jewelry or tonal navy layers."
CHANEL CHEVRON COCO SMALL ENVELOPE CAMERA CASE BAG,DELUXE,https://zerocollective.ca/bag/chanel-chevron-coco-envelope-small-camera-case-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67ab96725f0722e58c94ca7a_Chanel%20Double%20Pouch%20Burgundy%20%5B1%5D.webp,"SMALL (9"" x 5.5"" x 3"")","23""","WALLET, PHONE, AND KEYS",Burgundy with gold hardware,Caviar leather,"Small camera case, envelope-style flap, chevron quilting, chain strap, CC logo",
CHANEL TWEED DEAUVILLE WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-tweed-deauville-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/677eb69759b4f6914f88a296_Chanel%20Tweed%20Deauville%20WOC%20Pink%20%5B1%5D.webp,"X-SMALL (7"" x 3.5"" x 1.5"")","25""","CARDHOLDER, PHONE, AND KEYS","Rose pink tweed with white and navy blue accents, pale gold hardware",Tweed with leather trim,"Wallet-on-chain, logo panel, leather-trimmed chain strap, snap closure","The Tweed Deauville Wallet on Chain brings playful energy to a compact silhouette, blending rose-pink tweed with navy and white flecks for a lively, feminine mix. Pale gold hardware adds warmth, while the leather-trimmed chain balances practicality with style. It’s a chic choice for everyday errands or casual evenings, inspired by the relaxed spirit of Chanel’s seaside-inspired Deauville line."
DIOR OBLIQUE EMBOSSED SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-oblique-embossed-saddle-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67227c19f619796ccbc27337_Christian%20Dior%20Black%20Calfskin%20Embossed%20Oblique%20Saddle%20Bag%20%5B1%5D.webp,"SMALL (9.5"" x 8"" x 2.5"")","9""","CARDHOLDER, PHONE, AND KEYS",Matte black embossed leather with tonal hardware,Leather,"Signature saddle shape, all-over Oblique embossing, short shoulder strap, D charm","The Oblique Embossed Saddle Bag brings Galliano’s original 1999 design into a futuristic era with matte black leather embossed using heated metal plates. Each piece of calfskin is pressed to create permanent depth before being hand-cut and shaped into the Saddle’s signature curves. Tonal hardware keeps the look sleek, reinforcing the sculptural lines of the bag. It’s a bold choice for women who appreciate heritage reinterpreted through modern craftsmanship. Wear it close to the body for a clean, confident silhouette."
CHANEL DEAUVILLE SMALL SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-deauville-small-shopping-tote-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb2c13b5f2477baed56f3_Chanel%20Tote%20Gray%20Black%20%5B1%5D.webp,"LARGE (13.5"" x 10"" x 6"")","12""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Grey with black trim and silver hardware,"Canvas, leather","Small tote, canvas body, double chain/leather handles, ""Chanel 31 Rue Cambon"" embroidery, open top","The Small Deauville in grey blends soft canvas with black trim for a fresh, casual take on daytime luxury. Its heritage-inspired “31 Rue Cambon” embroidery anchors the look in Chanel’s Parisian identity. Spacious and easy to carry, it suits busy days and relaxed weekends alike. A versatile favourite for those who love modern practicality with iconic branding. Pair it with denim or elevated basics."
CHANEL LAMBSKIN QUILTED MY PRECIOUS FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-my-precious-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744063305405x304747840401400600/Chanel%20Pearl%20Logo%20White%20%5B1%5D.jpg","X-SMALL (7"" x 5"" x 2"")","22""","CARDHOLDER, PHONE, AND KEYS",Cream with gold-tone hardware and lettered bead details,Lambskin leather,"Small flap silhouette, CC turn-lock, chain strap with removable 'CHANEL' lettered beads","The My Precious Flap Bag is a charming twist on the classic Chanel mini, featuring removable lettered CHANEL beads for a playful, customizable look. Cream lambskin highlights the quilting beautifully, while gold-tone hardware adds soft radiance. The petite silhouette keeps it whimsical yet refined, making it a standout for collectors who love novelty pieces that still feel luxurious. Perfect for dressing up minimal outfits or adding personality to an evening look."
CHANEL LAMBSKIN QUILTED MAXI CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-classic-maxi-double-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa2015fc1b85c4c88b7d3c_CHANEL%20Black%20Medium%20Classic%20Double%20Flap%20Bag%20Gold%20HW%201.webp,"LARGE (13"" x 9"" x 3.5"")","11.5"" - 19.5""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS",Black,Lambskin leather,"Maxi size, double flap, gold chain, CC clasp","The Maxi Classic Double Flap delivers statement scale with all the beloved elements of Chanel’s signature silhouette—diamond quilting, gold chain, and refined structure. Soft lambskin adds richness, while the oversized proportions offer ample space without sacrificing elegance. This is the bag for someone who wants Chanel presence to be unmistakable. Perfect with dramatic coats or clean, minimalist outfits."
CHANEL VINTAGE LAMBSKIN CHEVRON FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-chevron-flap-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67ab9550541abd4af8d8925b_Chanel%20Chevron%20WOC%20White%20%5B1%5D.webp,"SMALL (10"" x 6"" x 2.5"")","15""","WALLET, PHONE, AND KEYS",Bright white with gold-tone hardware,Lambskin leather,"Envelope flap, chevron quilting, chain strap, CC turn-lock","Bright white lambskin gives this Vintage Chevron Flap a crisp, modern presence. Clean chevron quilting and gold hardware highlight the sharp envelope structure, creating a bold yet timeless contrast. It’s a standout option for collectors drawn to lighter, high-impact accessories. Style it with monochrome looks or soft pastels to let the brightness take centre stage."
LOEWE PAULA'S IBIZA SISAL RAFFIA BASKET BAG,CLASSIC,https://zerocollective.ca/bag/loewe-paulas-ibiza-sisal-raffia-basket-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb0f009561347d073c3ba_Loewe%20Beach%20Tote%20Blue_Cream%20%5B1%5D.webp,"LARGE (15"" x 10.5"" x 6.5"")","6""","PHONE, WALLET, SUNGLASSES, BOOK, AND KEYS","Fresh and expressive, the hand-dyed blue and natural raffia bring a lively, rhythmic energy to this spacious basket silhouette. The woven sisal and raffia are framed by saddle-stitched tan leather straps and a signature Anagram patch. Designed for Loewe’s Paula’s Ibiza line, it draws from the house’s playful summer heritage and Spanish craft traditions. A beautiful choice for women who love colour, texture, and artisanal character. Style it with relaxed resort separates or a crisp white shirt for contrast.","Hand-woven raffia, calfskin leather","Spacious basket shape, flat leather straps, embossed Anagram patch",
CHANEL VINTAGE LAMBSKIN CHEVRON TWO-WAY FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-chevron-two-way-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6799180641a6580b91487d11_Chanel%20Chevron%20Two-Way%20Burgundy%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 3"")","22.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Deep burgundy with gold-tone hardware,Lambskin leather,"Chevron quilting, top handle and chain strap, two-way carry, CC turn-lock","This Vintage Chevron Two-Way Flap showcases the richness of burgundy lambskin, elevated by precise chevron stitching and classic gold hardware. Its dual carrying options—handle or chain—offer flexibility that suits both vintage lovers and modern minimalists. The deep wine shade adds quiet drama, making it a standout piece in any rotation. It’s perfect for someone who gravitates toward timeless silhouettes with a touch of opulence. Pair it with autumnal layers or luxe neutrals for a refined finish."
CHANEL LAMBSKIN QUILTED MEDIUM 19 FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-medium-19-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb8c825998b97e567ee09_Chanel%2019%20Small%20Blue%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 3.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Vivid medium blue,Lambskin leather,"Medium size, mixed gold and ruthenium chain, oversized CC twist lock",
CHANEL CAVIAR CHEVRON SMALL BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-small-boy-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa231d52025a60df69f1c2_Chanel%20Boy%20Leather%201.webp,"SMALL (8"" x 5"" x 3"")","12"" - 21.5""","CARDHOLDER, PHONE, AND KEYS",White with brushed gold hardware,Caviar leather,"Small structured flap, chevron quilt, chunky chain, Boy clasp","The Small Boy Bag in white caviar leather brings a bold edge to a compact, modern silhouette. Inspired by Boy Capel, the hardware and structured lines embody Chanel’s androgynous spirit, reimagined for contemporary fashion. Chevron quilting gives the bag dynamic movement while brushed gold adds a warm glow. Perfect for collectors drawn to strong, confident design. Wear it crossbody for a striking, hands-free look."
CHANEL COTTON SMALL TRENDY TOP HANDLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-cotton-trendy-small-top-handle-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744063354294x541724221164229440/Chanel%20Top%20Handle%20Navy%20%5B1%5D.jpg","SMALL (10"" x 6.5"" x 3.5"")","4"" - 19""","WALLET, PHONE, SUNGLASSES, AND KEYS",Navy blue with gold-tone hardware,Quilted cotton and leather,"Structured top handle, flap closure, leather-woven chain strap, CC clasp, gold CHANEL bar",
CHANEL LAMBSKIN FUTURISTIC WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-lambskin-futuristic-wallet-on-chain-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6702d8a7bd28926c7a2d3f1b_Chanel%20Yellow%20Matelesse%20Wallet%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Bright yellow with silver hardware,Lambskin leather,"Wallet on chain, diamond quilting, CC clasp, chain strap",
CHANEL CAVIAR QUILTED GRAND SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-grand-shopping-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb8197b8d16d9cd3426bc_Chanel%20Caviar%20Tote%20Black%20%5B1%5D.webp,"LARGE (13.5"" x 10"" x 6"")","10""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Black with silver hardware,Caviar leather,"Large tote, double chain/leather handles, CC patch, open-top","The Grand Shopping Tote (GST) blends Chanel’s iconic quilting with an open, practical shape designed for everyday life. Caviar leather ensures structure and longevity, while the large CC patch adds a bold signature moment. Discontinued and now coveted, the GST symbolizes both functionality and status. Perfect for busy days when you want polish without effort. Style it with knitwear, denim, or tailored separates."
CHANEL VINTAGE CAVIAR DIAGONALLY COVERED CC LARGE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-caviar-diagonally-covered-cc-large-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67e48a236ed936176c9b1d1b_Chanel%20Diagonal%20Jumbo%20Blue%20%5B1%5D.webp,"LARGE (12"" x 8.5"" x 3"")","14"" - 24""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS",Light blue caviar leather with shiny gold-tone hardware and oversized CC motif,Caviar grained calfskin,"Large flap bag, diagonal oversized CC motif, chain strap, turn-lock closure",
